year,state,population,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown,total_vehicles,ev_adoption_rate,gas_adoption_rate,ev_growth_rate,gas_growth_rate
2017,Alabama,4874486.0,800,1100,30600,0,476700,18500,0,0,0,3750700,131500,49000,4458900,0.0001794164480028,0.8411715894054588,0.5919980264194773,-0.012008081551304284
2017,Alaska,739700.0,400,300,5200,0,59400,4400,0,0,0,506800,43200,16400,636100,0.0006288319446627,0.7967300738877535,1.062883194466293,-0.0060190122119127
2017,Arizona,7044008.0,7200,5800,96000,0,484600,16600,0,0,100,4940200,187500,108300,5846300,0.0012315481586644,0.8450130851991858,0.47809361876818124,-0.007984534380835018
2017,Arkansas,3001345.0,300,600,20000,0,352700,10800,0,0,0,2097400,100100,19800,2601700,0.000115309220894,0.8061651996771342,0.4815505246565588,-0.01248798092748038
2017,California,39358497.0,189700,159600,1039300,0,1495800,79300,0,3200,400,28171500,738600,122200,31999600,0.0059281991024887,0.8803703796297454,0.2860505257198971,-0.007948847972526485
2017,Colorado,5611885.0,8000,5200,79800,0,395500,14800,0,0,0,4256700,232400,83100,5075500,0.0015761993892227,0.8386759925130529,0.4726163237007921,-0.006608799873966231
2017,Connecticut,3573297.0,3000,3900,45200,0,179800,2900,0,0,0,2715700,57200,29600,3037300,0.0009877193560069,0.8941164850360518,0.4780232443288097,-0.005569951906092441
2017,Delaware,956823.0,400,900,11900,0,74900,1300,0,0,0,754200,16900,7000,867500,0.0004610951008645,0.8693948126801153,0.3155043227666743,-0.007581994968110517
2017,District of Columbia,,800,700,13600,0,23000,300,0,0,0,287400,3000,1200,330000,0.0024242424242424,0.8709090909090909,0.2650505050505565,-0.01842463512009951
2017,Florida,20963613.0,15900,13400,219700,0,1318500,16800,0,0,0,14267800,369900,131600,16353600,0.0009722629879659,0.8724562175912337,0.326954583868891,-0.008374325470171029
2017,Georgia,10410330.0,14400,5200,92200,0,793600,25100,0,0,0,7435300,218100,108000,8691900,0.0016567148724674,0.855428617448429,-0.21350222621061288,-0.009202241644372111
2017,Hawaii,1424393.0,5400,1700,23700,0,48400,1300,0,0,0,961200,18100,7000,1066800,0.0050618672665916,0.9010123734533184,0.26739514703518563,-0.006079290964534079
2017,Idaho,1717715.0,700,800,17700,0,123600,12000,0,0,0,1387400,130600,34500,1707300,0.000410004100041,0.8126281262812628,0.7124846248463497,0.0024793698428011712
2017,Illinois,12778828.0,8300,7700,155800,0,1056300,16400,0,0,0,8689700,200300,89700,10224200,0.0008117994561921,0.849914907767845,0.42616368602134513,-0.010113279700788791
2017,Indiana,6658078.0,1900,3200,59700,0,645000,17900,0,0,0,4880700,161600,76900,5846900,0.0003249585250303,0.8347500384819306,0.4352918114400226,-0.012800451894999676
2017,Iowa,3141550.0,600,1500,29000,0,405200,12300,0,0,0,2413800,112500,75400,3050300,0.0001967019637412,0.7913320001311347,0.4831819821000418,-0.01317437956027645
2017,Kansas,2908718.0,1000,1300,28200,0,277900,13200,0,0,0,2099900,92600,35900,2550000,0.000392156862745,0.8234901960784313,0.6470588235292636,-0.009453320230240148
2017,Kentucky,4452268.0,700,1200,33900,0,381500,14500,0,0,0,3319800,120300,44300,3916200,0.0001787447014963,0.8477095143251111,0.3698636433280822,-0.011250696148786044
2017,Louisiana,4670560.0,600,700,18700,0,512300,10500,0,0,0,3055100,155900,33900,3787700,0.0001584074768329,0.8065844707870211,0.4797238429665336,-0.010992394875560585
2017,Maine,1334612.0,500,1300,18900,0,120700,1600,0,0,0,1013200,31200,12300,1199700,0.0004167708593815,0.8445444694506961,0.6409657970047768,-0.013960732119045027
2017,Maryland,6023868.0,4400,6500,91200,0,369400,5500,0,0,0,4056000,105500,42100,4680600,0.0009400504208862,0.8665555697987437,0.356257744733701,-0.009503663032150778
2017,Massachusetts,6859789.0,5600,7900,103600,0,356300,3000,0,0,0,4667100,76900,37800,5258200,0.0010650032330455,0.8875851051690693,0.528812141036944,-0.008010055041692832
2017,Michigan,9973114.0,2500,12000,72000,0,1300200,17400,0,0,0,6879500,342300,75100,8701000,0.0002873232961728,0.7906562464084588,0.518988478336031,-0.03114285423586749
2017,Minnesota,5566230.0,2300,3100,63300,0,595100,12100,0,0,0,3960100,137200,47100,4820300,0.000477148725183,0.8215463767815281,0.42980597680659827,-0.010673606400000923
2017,Mississippi,2988510.0,200,300,12800,0,319400,7700,0,0,0,2136700,83400,15100,2575600,7.765180928715639e-05,0.8295931045193353,0.9432365274110888,-0.014545619186577818
2017,Missouri,6106670.0,2100,3300,88800,0,709800,19800,0,0,0,4645900,206100,64900,5740700,0.0003658090476771,0.8092915498109987,0.4479505983590859,-0.02449500287611217
2017,Montana,1052482.0,300,300,10000,0,118100,4900,0,0,0,737900,89000,19700,980200,0.0003060599877576,0.752805549887778,0.5120893695170226,-0.008996584273763042
2017,Nebraska,1915947.0,500,800,15800,0,230800,9100,0,0,0,1475100,82400,35700,1850200,0.000270241055021,0.7972651605231866,0.6400028825710788,-0.011844951154936556
2017,Nevada,2969905.0,3100,2000,34400,0,157000,6600,0,0,0,1965700,86900,33800,2289500,0.001354007425202,0.8585717405547063,0.504708451627115,-0.00797382483006337
2017,New Hampshire,1348787.0,600,1500,20300,0,113100,1600,0,0,0,1138200,33600,16100,1325000,0.0004528301886792,0.8590188679245283,0.47973584905658573,-0.00863185390768939
2017,New Jersey,8885525.0,6900,8100,84900,0,508700,4100,0,0,0,6137800,110500,50300,6911300,0.000998364996455,0.8880818369915935,0.5997135126531321,-0.004113584292399053
2017,New Mexico,2091784.0,700,1000,23600,0,173100,7600,0,0,0,1474900,97600,35600,1814100,0.0003858662697756,0.8130202304172868,0.29149440493904843,-0.011127730501250488
2017,New York,19589572.0,9400,17100,171000,0,960800,8700,0,0,0,9995700,186700,108400,11457800,0.0008204018223393,0.8723926059103841,0.5342321030359114,-0.0061312563107769336
2017,North Carolina,10268233.0,4400,4800,114300,0,727600,24100,0,0,0,7161700,225500,103900,8366300,0.0005259194626059,0.8560175943965672,0.488225133097536,-0.010000819524987103
2017,Ohio,11659650.0,3700,5600,98600,0,1010100,19500,0,0,0,8722000,215300,101200,10176000,0.0003636006289308,0.8571147798742138,0.41088231736818415,-0.010611030755724449
2017,Oklahoma,3931316.0,1200,900,25900,0,624400,18800,0,0,0,3238300,175100,67200,4151800,0.0002890312635483,0.7799749506238258,1.0079483597479313,-0.007973152691150398
2017,Oregon,4143625.0,10000,6000,90900,0,192900,14500,0,0,0,3130800,229000,91400,3765500,0.0026556898154295,0.8314433674146859,0.26869545273477846,-0.006314556342011612
2017,Pennsylvania,12787641.0,4400,7500,110100,0,846200,13400,0,0,0,8728400,224600,82400,10017000,0.0004392532694419,0.8713586902266147,0.3704976539883984,-0.007708164910855353
2017,Rhode Island,1055673.0,400,800,11800,0,49600,600,0,0,0,776800,13300,7900,861200,0.0004644681839294,0.9019972131908964,0.32775971512625746,-0.005971716740538646
2017,South Carolina,5021268.0,1200,1600,41900,0,426200,15000,0,0,0,3869600,107800,64600,4527900,0.0002650235208374,0.8546125135272422,0.46319485854362097,-0.010498191273986546
2017,South Dakota,872868.0,100,200,5900,0,125700,5300,0,0,0,681900,59700,22600,901400,0.0001109385400488,0.7564899045928556,-0.03261593077388347,-0.011302163062095194
2017,Tennessee,6708799.0,2900,2100,53400,0,500300,19900,0,0,0,4834800,144000,55200,5612600,0.000516694580052,0.8614189502191497,0.0903646739890549,-0.009691288989773228
2017,Texas,28295273.0,16100,10900,217100,0,2813400,56900,0,0,0,18252800,982900,194300,22544400,0.0007141463068433,0.8096378701584429,0.338676254022096,-0.010142332957165157
2017,Utah,3101042.0,3600,2500,36700,0,192600,10100,0,0,0,2136000,161000,36200,2578700,0.0013960522744018,0.8283243494784194,0.38611238220816824,-0.007737705576307707
2017,Vermont,624344.0,700,1600,12200,0,54600,700,0,0,0,518700,19600,8000,616100,0.0011361791916896,0.8419087810420386,1.323107720608121,-0.009917856036835704
2017,Virginia,8463587.0,5100,6100,136800,0,534100,16500,0,0,0,6707400,173300,60100,7639400,0.0006675916956829,0.8780008901222609,0.5942951101550209,-0.008267036441804931
2017,Washington,7423362.0,21000,9800,165100,0,362100,23000,0,0,0,5557300,287500,119700,6545500,0.0032083110533954,0.8490260484302192,0.34111708489719184,-0.007717135772202677
2017,West Virginia,1817004.0,100,400,9700,0,164700,4000,0,0,0,1278100,53800,18400,1529200,6.539366989275438e-05,0.8357964948992938,-0.0031388961548522998,-0.009647744403821656
2017,Wisconsin,5790186.0,2800,3500,67100,0,648900,13000,0,0,0,4530600,159100,49500,5474500,0.0005114622339939,0.8275824276189606,0.05603181182681616,-0.012840629666289072
2017,Wyoming,578931.0,100,100,4000,0,68700,4500,0,0,0,448600,71200,21700,618900,0.0001615769914364,0.7248343835837777,-0.006139925674401359,-0.006139925674583879
2018,Alabama,4887681.0,1300,1500,31800,0,509500,17000,0,0,0,3733700,135900,46000,4476700,0.000290392476601,0.8340295306810821,0.618538767395886,-0.008490608592028992
2018,Alaska,735139.0,500,300,5400,0,62000,3700,0,0,0,484900,41000,16100,613900,0.0008144648965629,0.7898680566867567,0.29520280175933467,-0.008612725220114581
2018,Arizona,7158024.0,12600,7700,102000,0,533600,15500,0,0,0,5061900,196300,103700,6033300,0.0020884093282283,0.8389935855999204,0.6957593688363402,-0.0071235578533632715
2018,Arkansas,3009733.0,600,800,20300,0,370600,9200,0,0,0,2070200,101700,18100,2591500,0.0002315261431603,0.7988423692841984,1.007871888867712,-0.009083535726757463
2018,California,39461588.0,273500,215000,1085300,0,1615200,77700,0,9400,300,28646700,761600,129800,32814500,0.0083347300735955,0.872989074951622,0.40594638093321134,-0.008384317383812623
2018,Colorado,5691287.0,12500,7400,84700,0,420500,13500,0,0,0,4278900,236200,78200,5131900,0.0024357450456945,0.8337847580818021,0.5453279974278402,-0.005832090670193746
2018,Connecticut,3571520.0,5000,5200,45100,0,188100,2500,0,0,0,2643300,54000,28200,2971400,0.0016827084875816,0.8895806690448946,0.7036301631106692,-0.005072958688346119
2018,Delaware,965479.0,800,1200,12300,0,80700,1200,0,0,0,758500,17000,6900,878600,0.0009105394946505,0.8633052583655816,0.9747325290235003,-0.007004360074062577
2018,District of Columbia,,1100,1000,13900,0,23500,200,0,0,0,291000,2600,1100,334400,0.0032894736842105,0.8702153110047847,0.3569078947368449,-0.0007966157565102439
2018,Florida,21244317.0,27400,17400,226900,0,1423900,15500,0,0,0,14541500,386500,135600,16774700,0.0016334122219771,0.8668709425503884,0.6800106989513299,-0.006401782608949302
2018,Georgia,10511131.0,15900,7000,97100,0,852500,23400,0,0,0,7500000,230100,104100,8830100,0.0018006591091833,0.8493675043317743,0.08688534104937373,-0.007085469194067606
2018,Hawaii,1420593.0,6600,2400,24800,0,52100,1100,0,0,0,969000,17800,6900,1080700,0.0061071527713519,0.8966410659757564,0.20650195860709353,-0.004851550995696119
2018,Idaho,1750536.0,1100,1100,19600,0,136900,11200,0,0,0,1426000,138400,26300,1760600,0.0006247870044303,0.8099511530160173,0.5238555038055033,-0.0032942168486043144
2018,Illinois,12723071.0,13600,9900,163800,0,1110700,14800,0,0,0,8631200,200800,89600,10234400,0.001328851715782,0.8433518330336903,0.636921170180665,-0.007722037434772622
2018,Indiana,6695497.0,3400,4100,64000,0,698200,16100,0,0,0,4881200,168300,73400,5908700,0.0005754226818081,0.8261038807182629,0.7707573043496736,-0.010357780611057632
2018,Iowa,3148618.0,1100,2000,30700,0,430600,11200,0,0,0,2397500,115300,72800,3061200,0.0003593362080229,0.7831895988501242,0.8268053922210825,-0.010289488204269781
2018,Kansas,2911359.0,1700,1800,29600,0,295700,12100,0,0,0,2087000,94500,32400,2554800,0.0006654141224361,0.8168936903084391,0.6968060122124793,-0.008010424169474839
2018,Kentucky,4461153.0,1200,1500,35800,0,414300,13200,0,0,0,3308700,123600,41100,3939400,0.000304614915977,0.8398994770777276,0.7041899056420731,-0.0092131055690714
2018,Louisiana,4659690.0,900,900,19000,0,539200,9500,0,0,0,3034700,158400,32200,3794800,0.0002371666490987,0.7996995889111416,0.49719352798530503,-0.008535847298376198
2018,Maine,1339057.0,800,1800,19600,0,132700,1400,0,0,0,1006500,31100,11700,1205600,0.0006635700066357,0.8348540145985401,0.5921698739217445,-0.011474179516513527
2018,Maryland,6035802.0,8400,8400,95300,0,389100,4900,0,0,0,4075000,104600,40700,4726400,0.0017772511848341,0.8621784021665538,0.8905913399396788,-0.005051225547146876
2018,Massachusetts,6882635.0,10300,11600,107000,0,387200,2600,0,0,0,4667700,74200,37500,5298100,0.0019440931654744,0.881013948396595,0.8254340504817443,-0.007403410370685148
2018,Michigan,9984072.0,4200,12300,79000,0,1351800,15300,0,0,0,6879900,285300,70300,8698100,0.0004828640737632,0.790965843115163,0.6805601223257551,0.0003915692921045988
2018,Minnesota,5606249.0,4900,4800,71000,0,660700,10700,0,0,0,4078700,138800,42600,5012200,0.0009776146203264,0.813754439168429,1.0488677192870153,-0.009484476875942893
2018,Mississippi,2981020.0,300,500,13600,0,342300,6300,0,0,0,2125900,89700,15000,2593600,0.0001156693399136,0.8196714990746453,0.48958975940734084,-0.011959604522555178
2018,Missouri,6121623.0,3500,4200,98600,0,744500,17800,0,0,0,4638300,212900,60600,5780400,0.0006054944294512,0.8024185177496367,0.6552199386431539,-0.008492652694776281
2018,Montana,1060665.0,500,400,10000,0,123700,4400,0,0,0,729000,89600,18400,976000,0.0005122950819672,0.7469262295081968,0.6738387978141676,-0.0078098791652874144
2018,Nebraska,1925614.0,900,1000,16800,0,246300,8400,0,0,0,1474400,84200,34000,1866000,0.0004823151125401,0.790139335476956,0.7847588424439063,-0.00893783574031315
2018,Nevada,3027341.0,5100,2900,37300,0,171800,6200,0,0,0,2005700,90600,32800,2352400,0.0021679986396871,0.852618602278524,0.6011718985689192,-0.006933769183150695
2018,New Hampshire,1353465.0,1200,2000,20700,0,124700,1400,0,0,0,1145600,33600,15800,1345000,0.0008921933085501,0.8517472118959107,0.9702602230483344,-0.008465071374027633
2018,New Jersey,8886025.0,13400,10800,89200,0,540100,3800,0,0,0,6333400,109700,50700,7151100,0.0018738375914195,0.8856539553355428,0.8769063399389332,-0.0027338490158466122
2018,New Mexico,2092741.0,1300,1300,25000,0,183700,6900,0,0,0,1478700,100000,33500,1830400,0.0007102272727272,0.8078562062937062,0.8406047077922403,-0.006351655137695755
2018,New York,19530351.0,15500,24300,173200,0,1003900,7800,0,0,0,9967300,184600,107000,11483600,0.0013497509491796,0.8679595248876659,0.6452315346288602,-0.005081520628080205
2018,North Carolina,10381615.0,7300,6500,119400,0,791100,22300,0,0,0,7205800,229300,99200,8480900,0.0008607577026023,0.8496503908783266,0.6366720834731923,-0.007438168981478754
2018,North Dakota,758080.0,100,200,3700,0,133300,4300,0,0,0,560300,54700,15900,772500,0.0001294498381877,0.7253074433656957,0.0033656957929992792,-0.008140791544194115
2018,Ohio,11676341.0,6400,7200,104900,0,1075400,17600,0,0,0,8725900,220800,96000,10254200,0.0006241345009849,0.8509586315851065,0.7165385627088241,-0.0071824082767663056
2018,Oklahoma,3940235.0,3700,1300,27800,0,629100,17100,0,0,0,3204200,178300,64500,4126000,0.0008967523024721,0.7765874939408628,2.1026135078368218,-0.004343032657976642
2018,Oregon,4181886.0,13800,8400,96300,0,210600,13500,0,0,0,3177400,238000,85700,3843700,0.0035902906054062,0.8266514035954939,0.351923927465734,-0.005763427801573906
2018,Pennsylvania,12800922.0,8000,9500,114800,0,893300,11900,0,0,0,8661000,227000,77500,10003000,0.0007997600719784,0.8658402479256223,0.8207265093201181,-0.006333146570853931
2018,Rhode Island,1058287.0,700,1200,12400,0,55500,600,0,0,0,792000,13200,7800,883400,0.0007923930269413,0.8965361104822278,0.7060221870046219,-0.006054456298539401
2018,South Carolina,5084156.0,2000,2200,43800,0,462200,14100,0,0,0,3906000,112500,61700,4604500,0.0004343576935606,0.848300575523944,0.6389401672279937,-0.007385730846892202
2018,South Dakota,878698.0,200,300,6300,0,135300,5000,0,0,0,689100,62000,21600,919800,0.0002174385736029,0.7491846053489889,0.9599913024567692,-0.009656836395983914
2018,Tennessee,6771631.0,3900,2900,59200,0,567600,19100,0,0,0,5059400,164100,55600,5931800,0.0006574732796115,0.8529282848376547,0.27246018246472037,-0.009856603896785554
2018,Texas,28628666.0,24500,14700,227700,0,3005900,51300,0,0,0,18453800,1019300,175300,22972500,0.0010664925454347,0.8032995973446512,0.4933810274099937,-0.007828528095593312
2018,Utah,3153550.0,5600,3400,40900,0,214100,9700,0,0,0,2221100,173700,36600,2705100,0.0020701637647406,0.8210787031902702,0.4828698055935283,-0.008747353971559124
2018,Vermont,624358.0,1100,2000,12600,0,57500,600,0,0,0,513600,19100,7700,614200,0.0017909475740801,0.8362097036795832,0.5762897148440125,-0.006769233782550121
2018,Virginia,8501286.0,9900,8100,141300,0,569100,15100,0,0,0,6721800,173400,55800,7694500,0.0012866333095067,0.873585028266944,0.927275785224625,-0.0050294503171882665
2018,Washington,7523869.0,30200,13700,177800,0,387400,21400,0,0,0,5608000,295400,110600,6644500,0.0045451124990593,0.8440063210173828,0.41666827917110627,-0.005912336166973287
2018,West Virginia,1804291.0,200,500,10100,0,172900,3500,0,0,0,1256800,54700,16500,1515200,0.0001319957761351,0.8294614572333685,1.0184794086579494,-0.007579641341626586
2018,Wisconsin,5807406.0,3700,4500,70900,0,696300,11400,0,0,0,4515800,162500,47100,5512200,0.0006712383440368,0.8192373281085592,0.3123908265821356,-0.010083707956935584
2018,Wyoming,577601.0,200,200,4100,0,71500,4200,0,0,0,450100,72900,20400,623600,0.0003207184092366,0.7217767799871713,0.9849262347655565,-0.004218347895541097
