"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","564,293"
"    Median income (dollars)",""
"        Estimate","79,831"
"Alpine County, California",""
"    Total",""
"        Estimate","343"
"    Median income (dollars)",""
"        Estimate","62,375"
"Amador County, California",""
"    Total",""
"        Estimate","14,248"
"    Median income (dollars)",""
"        Estimate","57,032"
"Butte County, California",""
"    Total",""
"        Estimate","85,505"
"    Median income (dollars)",""
"        Estimate","44,366"
"Calaveras County, California",""
"    Total",""
"        Estimate","17,713"
"    Median income (dollars)",""
"        Estimate","53,502"
"Colusa County, California",""
"    Total",""
"        Estimate","6,962"
"    Median income (dollars)",""
"        Estimate","54,946"
"Contra Costa County, California",""
"    Total",""
"        Estimate","387,540"
"    Median income (dollars)",""
"        Estimate","82,881"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,443"
"    Median income (dollars)",""
"        Estimate","42,363"
"El Dorado County, California",""
"    Total",""
"        Estimate","67,528"
"    Median income (dollars)",""
"        Estimate","72,586"
"Fresno County, California",""
"    Total",""
"        Estimate","299,456"
"    Median income (dollars)",""
"        Estimate","45,963"
"Glenn County, California",""
"    Total",""
"        Estimate","9,801"
"    Median income (dollars)",""
"        Estimate","41,699"
"Humboldt County, California",""
"    Total",""
"        Estimate","53,689"
"    Median income (dollars)",""
"        Estimate","42,685"
"Imperial County, California",""
"    Total",""
"        Estimate","45,800"
"    Median income (dollars)",""
"        Estimate","42,560"
"Inyo County, California",""
"    Total",""
"        Estimate","7,973"
"    Median income (dollars)",""
"        Estimate","47,278"
"Kern County, California",""
"    Total",""
"        Estimate","262,337"
"    Median income (dollars)",""
"        Estimate","49,788"
"Kings County, California",""
"    Total",""
"        Estimate","41,845"
"    Median income (dollars)",""
"        Estimate","47,241"
"Lake County, California",""
"    Total",""
"        Estimate","26,194"
"    Median income (dollars)",""
"        Estimate","36,132"
"Lassen County, California",""
"    Total",""
"        Estimate","9,501"
"    Median income (dollars)",""
"        Estimate","51,457"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,281,845"
"    Median income (dollars)",""
"        Estimate","57,952"
"Madera County, California",""
"    Total",""
"        Estimate","43,574"
"    Median income (dollars)",""
"        Estimate","45,742"
"Marin County, California",""
"    Total",""
"        Estimate","104,400"
"    Median income (dollars)",""
"        Estimate","100,310"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,255"
"    Median income (dollars)",""
"        Estimate","49,265"
"Mendocino County, California",""
"    Total",""
"        Estimate","34,594"
"    Median income (dollars)",""
"        Estimate","43,510"
"Merced County, California",""
"    Total",""
"        Estimate","78,270"
"    Median income (dollars)",""
"        Estimate","44,397"
"Modoc County, California",""
"    Total",""
"        Estimate","3,670"
"    Median income (dollars)",""
"        Estimate","41,194"
"Mono County, California",""
"    Total",""
"        Estimate","4,950"
"    Median income (dollars)",""
"        Estimate","58,937"
"Monterey County, California",""
"    Total",""
"        Estimate","125,916"
"    Median income (dollars)",""
"        Estimate","60,889"
"Napa County, California",""
"    Total",""
"        Estimate","49,375"
"    Median income (dollars)",""
"        Estimate","74,609"
"Nevada County, California",""
"    Total",""
"        Estimate","40,587"
"    Median income (dollars)",""
"        Estimate","57,429"
"Orange County, California",""
"    Total",""
"        Estimate","1,017,012"
"    Median income (dollars)",""
"        Estimate","78,145"
"Placer County, California",""
"    Total",""
"        Estimate","136,730"
"    Median income (dollars)",""
"        Estimate","76,926"
"Plumas County, California",""
"    Total",""
"        Estimate","8,376"
"    Median income (dollars)",""
"        Estimate","50,125"
"Riverside County, California",""
"    Total",""
"        Estimate","705,716"
"    Median income (dollars)",""
"        Estimate","57,972"
"Sacramento County, California",""
"    Total",""
"        Estimate","527,335"
"    Median income (dollars)",""
"        Estimate","57,509"
"San Benito County, California",""
"    Total",""
"        Estimate","17,390"
"    Median income (dollars)",""
"        Estimate","73,814"
"San Bernardino County, California",""
"    Total",""
"        Estimate","618,922"
"    Median income (dollars)",""
"        Estimate","54,469"
"San Diego County, California",""
"    Total",""
"        Estimate","1,103,128"
"    Median income (dollars)",""
"        Estimate","66,529"
"San Francisco County, California",""
"    Total",""
"        Estimate","356,797"
"    Median income (dollars)",""
"        Estimate","87,701"
"San Joaquin County, California",""
"    Total",""
"        Estimate","221,707"
"    Median income (dollars)",""
"        Estimate","55,045"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","104,404"
"    Median income (dollars)",""
"        Estimate","64,014"
"San Mateo County, California",""
"    Total",""
"        Estimate","261,010"
"    Median income (dollars)",""
"        Estimate","98,546"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","143,051"
"    Median income (dollars)",""
"        Estimate","65,161"
"Santa Clara County, California",""
"    Total",""
"        Estimate","626,579"
"    Median income (dollars)",""
"        Estimate","101,173"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","95,062"
"    Median income (dollars)",""
"        Estimate","70,088"
"Shasta County, California",""
"    Total",""
"        Estimate","69,713"
"    Median income (dollars)",""
"        Estimate","45,582"
"Sierra County, California",""
"    Total",""
"        Estimate","1,275"
"    Median income (dollars)",""
"        Estimate","43,984"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,045"
"    Median income (dollars)",""
"        Estimate","38,524"
"Solano County, California",""
"    Total",""
"        Estimate","145,315"
"    Median income (dollars)",""
"        Estimate","69,227"
"Sonoma County, California",""
"    Total",""
"        Estimate","189,043"
"    Median income (dollars)",""
"        Estimate","66,833"
"Stanislaus County, California",""
"    Total",""
"        Estimate","170,328"
"    Median income (dollars)",""
"        Estimate","51,591"
"Sutter County, California",""
"    Total",""
"        Estimate","32,028"
"    Median income (dollars)",""
"        Estimate","52,943"
"Tehama County, California",""
"    Total",""
"        Estimate","23,573"
"    Median income (dollars)",""
"        Estimate","40,687"
"Trinity County, California",""
"    Total",""
"        Estimate","5,468"
"    Median income (dollars)",""
"        Estimate","35,270"
"Tulare County, California",""
"    Total",""
"        Estimate","134,153"
"    Median income (dollars)",""
"        Estimate","42,789"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,083"
"    Median income (dollars)",""
"        Estimate","50,731"
"Ventura County, California",""
"    Total",""
"        Estimate","269,338"
"    Median income (dollars)",""
"        Estimate","78,593"
"Yolo County, California",""
"    Total",""
"        Estimate","72,544"
"    Median income (dollars)",""
"        Estimate","57,663"
"Yuba County, California",""
"    Total",""
"        Estimate","25,655"
"    Median income (dollars)",""
"        Estimate","48,739"